"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R8,R9";"R_0402_1005Metric";2;"0";;;
2;"R11,R10";"R_0402_1005Metric";2;"5.1k";;;
3;"U5";"TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR";1;"TP4054_C668215";;;
4;"C4,C19,C9,C2,C18";"C_0402_1005Metric";5;"1u";;;
5;"F2";"Fuse_0402_1005Metric";1;"2A";;;
6;"L1";"L_0402_1005Metric";1;"24n";;;
7;"R3,R7,R2,R14,R12,R17,R15,R5,R6,R16,R19,R13,R18";"R_0402_1005Metric";13;"10k";;;
8;"R4";"R_0402_1005Metric";1;"5k";;;
9;"C3";"C_0402_1005Metric";1;"10n";;;
10;"F1";"Fuse_0402_1005Metric";1;"1A";;;
11;"D4";"D_0402_1005Metric";1;"D_Schottky";;;
12;"Q2";"SOT-23";1;"IRLML6401";;;
13;"L5";"L_0402_1005Metric";1;"8.2n";;;
14;"C12,C13";"C_0402_1005Metric";2;"1.8p";;;
15;"C16,C14,C15,C11";"C_0402_1005Metric";4;"10u";;;
16;"L3";"L_0402_1005Metric";1;"2.7n";;;
17;"U2";"SOT-666";1;"USBLC6-2P6";;;
18;"C20,C1";"C_0402_1005Metric";2;"22p";;;
19;"R1";"R_0402_1005Metric";1;"330";;;
20;"C7,C8,C5,C6,C10";"C_0402_1005Metric";5;"100n";;;
21;"AE1";"CW324S";1;"Ceramic";;;
22;"C17";"C_0402_1005Metric";1;"220n";;;
23;"L4";"IND-SMD_L2.5-W2.0";1;"1u";;;
24;"D1";"LED_0603_1608Metric";1;"LED";;;
25;"Q1";"SOT-23";1;"BSS138";;;
26;"U3";"SOT-563-6_L1.6-W1.2-P0.50-LS1.6-BL";1;"TPS61299DRLR";;;
27;"U4";"SOT-23-5";1;"ME6211C33M5";;;
28;"Y1";"CRYSTAL-SMD_4P-L1.6-W1.2-BL";1;"HD 7E040000M01";;;
29;"L2";"L_0402_1005Metric";1;"2n";;;
30;"U1";"QFN-28_L4.0-W4.0-P0.40-TL-EP2.7";1;"ESP8685H4";;;
31;"D2";"D_0402_1005Metric";1;"PTVS5V0Z1USK";;;
32;"U7";"CONN-SMD_2P-P0.80_JUSHUO_AFC08-S02QCA-00";1;"AFC08-S02QCA-00";;;
33;"U11";"USB-C-SMD_XUNPU_TYPEC-304A-ACP16L";1;"TYPEC-304A-ACP16L";;;
34;"U8";"LGA-14L_L3.0-W2.5-P0.50-TL";1;"LSM6DSOWTR";;;
35;"SW1";"KEY-SMD_B3U-1000PM";1;"SW_Push";;;
36;"TP6,TP9,TP5,TP8";"TestPoint_Pad_D1.0mm";4;"TestPoint";;;
